"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";".01";"PCS1206DR0100ET";"RESC3216X68N";"R30";"Current Sense Resistors - SMD 1W 0.010 OHMS 0.5%";"";
"1";".01";"R-US_R0603";"R0603";"R29";"RESISTOR, American symbol";"";
"2";".1u";"C-USC0603";"C0603";"C8, C11";"CAPACITOR, American symbol";"";
"1";".47u";"C-USC0603";"C0603";"C2";"CAPACITOR, American symbol";"";
"1";"0.1u";"C-USC0603";"C0603";"C12";"CAPACITOR, American symbol";"";
"1";"100k";"R-US_R0603";"R0603";"R6";"RESISTOR, American symbol";"";
"1";"100Ω";"SR0603FR-7T100RL";"RESC1608X55N";"R26";"Check prices";"";
"1";"10118193-0001LF";"10118193-0001LF";"101181930001LF";"U1";"";"";
"2";"10K";"R-US_R0402";"R0402";"R3, R4";"RESISTOR, American symbol";"";
"2";"10k";"R-US_R0402";"R0402";"R1, R10";"RESISTOR, American symbol";"";
"5";"10u";"CL21A106KOQNNNE";"CAPC2012X140N";"C1, C3, C5, C6, C9";"";"";
"1";"150";"R-US_R0402";"R0402";"R2";"RESISTOR, American symbol";"";
"2";"15ohm";"SR0603JR-0715RL";"RESC1608X55N";"R13, R14";"Check prices";"";
"1";"1N4148W-13-F";"1N4148W-13-F";"SOD3715X135N";"D1";"1N4148W Series 2 A 100 V 400 mW Surface Mount Fast Switching Diode - SOD-123 Check prices";"";
"9";"1k";"CRCW06031K00FKEAC";"RESC1608X55N";"R7, R8, R9, R12, R15, R17, R18, R19, R24";"";"";
"1";"2.2u";"C-USC0603";"C0603";"C7";"CAPACITOR, American symbol";"";
"3";"25ohm";"RQ73C2A25R5BTD";"RESC2012X65N";"R20, R21, R23";"Check prices";"";
"1";"300Ω";"CRCW1206300RFKEAC";"RESC3015X65N";"R27";"Check prices";"";
"3";"35ohm";"RT0603BRD0735R2L";"RESC1608X55N";"R16, R22, R25";"";"";
"1";"3kΩ";"CR1206-FX-3001ELF";"RESC3216X75N";"R28";"";"";
"1";"453k";"R-US_R0402";"R0402";"R5";"RESISTOR, American symbol";"";
"2";"5.23k";"R-US_R0603";"R0603";"R31, R32";"RESISTOR, American symbol";"";
"1";"50ohm";"RT0402BRE0750RL";"RESC1005X35N";"R11";"";"";
"1";"8.2p";"C-USC0402K";"C0402K";"C4";"CAPACITOR, American symbol";"";
"1";"BQ27421YZFR-G1A";"BQ27421YZFR-G1A";"BGA9C50P3X3_158X162X62";"IC3";"";"";
"1";"Batt Connect";"L02P";"L02P";"SV1";"AMP MT CONNECTOR";"";
"1";"DMP2008UFG7";"DMP2008UFG";"DMP2008UFG7";"Q1";"";"";
"2";"HLMP6";"HLMP6";"HLMP6";"ORNG, YEL";"LED";"";
"1";"LRTBGVSR-U4V2-JW+A6BB-D8+S2U2-";"LRTBGVSR-U4V2-JW+A6BB-D8+S2U2-";"LRTBGVSRU4V2JWA6BBD8S2U27Z20S";"LED2";"Standard LEDs - SMD RGB LED OSIRE E3635";"";
"6";"LSP10";"LSP10";"LSP10";"GND, LED, NEG(-), OUT, POS(+), VDD";"SOLDER PAD drill 1.0 mm, distributor Buerklin, 12H555";"";
"1";"MCP73831/OT";"MCP73831/OT";"SOT23-5L";"IC2";"MCP73831/2";"";
"8";"MMBT3904";"MMBT3904-7-FNSMD";"SOT23";"Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9";"";"";
"2";"PESD5V0C1BSFYL";"PESD5V0C1BSFYL";"PMEG3005AESFYL";"D2, D3";"PESD5V0C1BSF - Ultra low capacitance bidirectional ESD protection diode";"";
"1";"PRT-16279";"PRT-16279";"PRT16279";"J2";"ARDUINO NANO STACKABLE HEADERS";"";
"1";"PS1240P02BT";"PS1240P02BT";"PS1240P02BT";"LS1";"Audio Indicators & Alerts Round 12.2mmx6.5mm 4kHz Vin=3V";"";
"1";"PURPLE";"APTR3216-VFX";"LEDC3216X125N";"LED3";"";"";
"1";"RED";"150060RS75000";"LEDC1608X80N";"LED1";"";"";
"1";"SDR0403-2R2ML";"SDR0403-2R2ML";"SDR04032R2ML";"L1";"Bourns SDR0403 Series Type SMD Wire-wound SMD Inductor with a Ferrite DR Core, 2.2 uH +/-20% 2.6A Idc Q:28";"";
"22";"TESTPOINT";"TESTPOINT";"TESTPOINT_PAD-036";"TP1, TP2, TP3, TP4, TP5, TP6, TP7, TP8, TP9, TP10, TP11, TP12, TP13, TP14, TP15, TP16, TP17, TP18, TP19, TP20, TP21, TP22";"";"";
"1";"TLV62568DRLRSOT-5X3";"TLV62568DRLRSOT-5X3";"SOT50P160X60-6N";"U$1";"";"";
"1";"W3102";"W3102";"W3102";"ANT1";"Antennas Ant Embedded NFC 13.56MHz";"";
